Department,Area,Designation,Name,Phone,E-Mail,Source,Notes
BESCOM (Division),Chandapura,,,,,,
BESCOM (Division),Chikkabalapura,,,,,,
BESCOM (Division),Chinthamani,,,,,,
BESCOM (Division),Hebbal,Executive Engineer,-,8023516893,eehebbala@bescom.co.in,https://bescom.karnataka.gov.in/new-page/Contact%20Us/en,
BESCOM (Division),HSR Layout,Executive Engineer,-,8022584382,eehsrlayout@bescom.co.in,https://bescom.karnataka.gov.in/new-page/Contact%20Us/en,
BESCOM (Division),Indiranagar,Executive Engineer,-,8025207071,eeindiranagar@bescom.co.in,https://bescom.karnataka.gov.in/new-page/Contact%20Us/en,
BESCOM (Division),Jalahalli,Executive Engineer,-,8277893904,eejalahalli@bescom.co.in,https://bescom.karnataka.gov.in/new-page/Contact%20Us/en,
BESCOM (Division),Jayanagar,Executive Engineer,-,8026711499,eejayanagar@bescom.co.in,https://bescom.karnataka.gov.in/new-page/Contact%20Us/en,
BESCOM (Division),Kanakapura,,,,,,
BESCOM (Division),Kengeri,Executive Engineer,-,8028488868,eekengeri@bescom.co.in,https://bescom.karnataka.gov.in/new-page/Contact%20Us/en,
BESCOM (Division),KGF,,,,,,
BESCOM (Division),Kolar,,,,,,
BESCOM (Division),Kolar,,,,,,
BESCOM (Division),Koramangala,Executive Engineer,-,8025631788,eekoramangala@bescom.co.in,https://bescom.karnataka.gov.in/new-page/Contact%20Us/en,
BESCOM (Division),Malleshwaram,Executive Engineer,-,944844606,eemalleshwaram@bescom.co.in,https://bescom.karnataka.gov.in/new-page/Contact%20Us/en,
BESCOM (Division),Nelamangala,,,,,,
BESCOM (Division),Peenya,Executive Engineer,-,8028365466,eepeenya@bescom.co.in,https://bescom.karnataka.gov.in/new-page/Contact%20Us/en,
BESCOM (Division),Rajajinagar,Executive Engineer,-,8023132292,eerajajinagar@bescom.co.in,https://bescom.karnataka.gov.in/new-page/Contact%20Us/en,
BESCOM (Division),Ramanagara,,,,,,
BESCOM (Division),RR Nagar,Executive Engineer,-,8026746875,eerajarajeshwarinagara @bescom.co.in,https://bescom.karnataka.gov.in/new-page/Contact%20Us/en,
BESCOM (Division),Shivajinagar,Executive Engineer,-,8025493008,eeshivajinagar@bescom.co.in,https://bescom.karnataka.gov.in/new-page/Contact%20Us/en,
BESCOM (Division),Tumkur,,,,,,
BESCOM (Division),Tumkur ,,,,,,
BESCOM (Division),Vidhana Soudha,Executive Engineer,-,8022353680,eevidhanasoudha@bescom.co.in,https://bescom.karnataka.gov.in/new-page/Contact%20Us/en,
BESCOM (Division),Whitefield,Executive Engineer,-,8277893919,eewf.work@gmail.com,https://bescom.karnataka.gov.in/new-page/Contact%20Us/en,
BESCOM (Division),Yelahanka,,,,,,
BESCOM (Subdivision),Anekal,Assistant Executive Engineer,-,9448279092,aeeanekal@bescom.co.in,https://bescom.karnataka.gov.in/new-page/Contact%20Us/en,
BESCOM (Subdivision),Bangarapete,,,,,,
BESCOM (Subdivision),C1 Rajajinagara 2nd Block,Assistant Executive Engineer,-,"8023324232, 9449844641",aeec1@bescom.co.in,https://bescom.karnataka.gov.in/new-page/Contact%20Us/en,
BESCOM (Subdivision),C2 Malleshwaram,Assistant Executive Engineer,-,"8023341286, 94498 44642",aeec2@bescom.co.in,https://bescom.karnataka.gov.in/new-page/Contact%20Us/en,
BESCOM (Subdivision),C3 Jalahalli,Assistant Executive Engineer,-,"8023452535, 9449844643",aeec3@bescom.co.in,https://bescom.karnataka.gov.in/new-page/Contact%20Us/en,
BESCOM (Subdivision),C4 Hebbala,Assistant Executive Engineer,-,"8023334199, 9449844644",aeec4@bescom.co.in,https://bescom.karnataka.gov.in/new-page/Contact%20Us/en,
BESCOM (Subdivision),C5 Kaval Byrasandra,Assistant Executive Engineer,-,"8023651515, 9449844645",aeec5@bescom.co.in,https://bescom.karnataka.gov.in/new-page/Contact%20Us/en,
